Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),City,IsCondo
15916180.0,2.0,2.0,74.0,0.0,Lapu-Lapu,1
8730355.0,1.0,1.0,41.0,0.0,Lapu-Lapu,1
27448000.0,0.0,0.0,82.0,0.0,Pasig,1
16011000.0,1.0,0.0,58.0,0.0,Pasig,1
1935600.0,3.0,0.0,40.0,40.0,General Trias,0
7587013.0,1.0,1.0,32.0,0.0,Mandaluyong,1
13246000.0,1.0,1.0,46.0,0.0,Pasig,1
15492000.0,1.0,0.0,56.0,0.0,Pasig,1
26930000.0,1.0,1.0,70.0,0.0,Pasig,1
8360751.0,1.0,1.0,33.0,0.0,Mandaluyong,1
22042000.0,1.0,1.0,67.0,0.0,Pasig,1
5110000.0,3.0,0.0,66.0,88.0,Tayabas,0
8982000.0,5.0,0.0,166.0,142.0,Balanga,0
16487500.0,4.0,2.0,92.0,0.0,Davao,1
2089739.0,2.0,0.0,40.0,45.0,Trece Martires,0
12415000.0,1.0,1.0,41.0,0.0,Pasig,1
16618000.0,1.0,0.0,57.0,0.0,Pasig,1
18160000.0,1.0,0.0,57.0,0.0,Pasig,1
15669000.0,1.0,0.0,58.0,0.0,Pasig,1
2636000.0,2.0,0.0,40.0,54.0,Tayabas,0
15229000.0,1.0,0.0,56.0,0.0,Pasig,1
15492000.0,1.0,0.0,53.0,0.0,Pasig,1
15297000.0,1.0,0.0,56.0,0.0,Pasig,1
16602000.0,1.0,1.0,58.0,0.0,Pasig,1
4009821.0,1.0,1.0,22.0,0.0,Davao,1
8385000.0,5.0,0.0,100.0,194.0,Tayabas,0
35121000.0,2.0,2.0,106.0,0.0,Pasig,1
4160000.0,2.0,0.0,40.0,108.0,Tayabas,0
2582000.0,2.0,0.0,36.0,59.0,Tayabas,0
8872000.0,1.0,0.0,35.0,0.0,Pasig,1
3365000.0,2.0,0.0,46.0,63.0,Malolos,0
21625000.0,1.0,1.0,67.0,0.0,Pasig,1
21129000.0,1.0,1.0,66.0,0.0,Pasig,1
15972000.0,1.0,0.0,58.0,0.0,Pasig,1
16274000.0,1.0,0.0,57.0,0.0,Pasig,1
18392000.0,1.0,0.0,57.0,0.0,Pasig,1
15898000.0,1.0,0.0,56.0,0.0,Pasig,1
15627000.0,1.0,1.0,53.0,0.0,Pasig,1
15635000.0,1.0,0.0,56.0,0.0,Pasig,1
5210000.0,3.0,0.0,66.0,88.0,Taal,0
